Customer_Age,Credit_Limit
45,12691
49,8256
51,3418
40,3313
40,4716
44,4010
51,34516
32,29081
37,22352
48,11656
42,6748
65,9095
56,11751
35,8547
57,2436
44,4234
48,30367
41,13535
61,3193
45,14470
47,20979
62,1438.3
41,4470
47,2492
54,12217
41,7768
59,14784
63,10215
44,10100
47,4785
53,2753
53,2451
41,8923
53,2650
58,12555
55,3520
55,3035
42,15433
57,3672
66,7882
45,32426
51,6205
50,17304
49,3906
38,9830
49,34516
56,2283
59,2548
46,19458
52,4745
52,2622
54,1438.3
66,3171
49,19763
56,15769
49,3298
49,2802
56,4458
44,6273
42,3336
55,3436
48,34516
39,5926
44,23957
53,14734
51,34516
57,6584
44,2084
49,1687
50,25300
51,34516
55,2216
54,2910
42,22913
44,24312
53,5272
44,7000
37,7038
49,2536
47,28904
47,8567
44,34516
55,2158
59,10133
53,34516
52,3085
53,19040
43,4026
44,12756
57,5266
51,9930
49,31302
45,6576
53,2664
45,2535
64,1709
45,3454
53,3789
56,9689
47,5449
49,23032
41,34516
53,2940
44,3031
44,1862
43,8358
53,34516
44,14450
62,1438.3
54,33791
57,8466
42,15088
42,3263
54,1494
48,13551
49,18886
52,11976
50,9964
49,24159
53,5362
50,34516
55,3174
53,12262
47,3788
55,34516
47,2926
58,32090
53,11669
52,13532
50,11888
42,2393
43,6111
57,19270
52,3710
47,3235
44,11749
53,7753
45,10408
63,3967
39,6205
48,8025
51,9036
54,14926
59,6335
59,14979
48,2732
41,2250
55,10916
47,5349
41,9366
40,21617
68,13860
50,18386
47,2405
53,2154
42,2038
48,8135
49,9364
44,32643
43,3195
56,2852
59,4224
46,20459
47,3482
50,3065
51,2185
47,1611
58,2822
46,32975
53,1438.3
45,15875
52,6703
53,3212
50,34516
41,9797
45,10400
53,26792
67,3006
57,19482
59,3356
45,5771
51,11106
59,2890
53,3380
47,21331
49,12860
49,6278
60,1438.3
50,9355
41,20758
57,14612
43,27259
57,6347
54,21592
51,3449
47,6028
41,18214
53,16393
68,1438.3
59,7871
48,5288
44,11376
48,12302
47,34516
47,34516
43,10514
55,1438.3
59,1438.3
63,2619
58,24407
53,2377
59,34516
52,11086
48,11432
43,13258
48,2571
43,5781
44,7872
41,34516
44,11127
50,1857
60,1913
44,3839
48,2115
44,1438.3
41,27756
45,1438.3
47,13878
51,3106
51,34516
60,1438.3
57,18871
41,5207
44,17965
43,2733
55,8863
52,1857
44,34516
41,11107
44,21573
53,2859
39,5269
49,1438.3
45,3387
54,1982
49,4645
46,2189
46,2442
47,21304
44,7577
50,3234
73,4469
56,2910
59,3616
70,3252
55,2358
43,22322
45,3133
45,3540
40,6990
36,34516
59,1438.3
43,24396
46,2474
41,5214
51,5207
51,9512
43,3187
64,3353
54,2290
48,5279
40,23603
57,2601
45,6363
41,8029
42,2410
45,3401
42,2260
47,17682
48,4206
43,34516
41,23018
54,5556
54,6094
61,2939
61,5362
48,27126
45,3342
54,2532
54,1900
44,14546
50,2521
55,16427
